Chamber  bmin bminOld  bmax  h width   WireN  StripN
0 G    192.8  195.4   689.  429.  595.2  165  118
1 G    204.3  206.9   750.8 474.  647.2  181  129
2 G    214.7  217.3   809.6 519.  695.2  196  138
3 G    227.4  230.    883.  570.  760.2  213  151
4 G    219.9  222.5   951.6 633.  822.6  226  164
0 P    192.8  195.4   569.5 327.  490.2  127   97
1 P    204.3  206.9   629.5 369.  542.2  150  108
2 P    214.7  217.3   658.9 378.  575.2  158  114
3 P    227.4  230.    744.5 450.  640.2  180  127
4 P    249.9  252.5   879.6 546.  758.7  204  151
