#                                                        a0: signalShape
#                                                          a1: syncPhase
#                                                       a2: binOfMaximum
#                                                          a3: timePhase
#                                                       a4: timeSmearing
#                                                      a5: packingScheme
#   eta  phi  dep        det      param1      DetId     a0   a1   a2     a3   a4   a5
     -1    1    1         HB   140908157    42004081   125    1    5    6.0    1    1
     -2    1    1         HB   140908157    42004101   125    1    5    6.0    1    1
     -3    1    1         HB   140908157    42004181   125    1    5    6.0    1    1
     -4    1    1         HB   140908157    42004201   125    1    5    6.0    1    1
     -5    1    1         HB   140908157    42004281   125    1    5    6.0    1    1
     -6    1    1         HB   140908157    42004301   125    1    5    6.0    1    1
     -7    1    1         HB   140908157    42004381   125    1    5    6.0    1    1
     -8    1    1         HB   140908157    42004401   125    1    5    6.0    1    1
     -9    1    1         HB   140908157    42004481   125    1    5    6.0    1    1
    -10    1    1         HB   140908157    42004501   125    1    5    6.0    1    1
    -11    1    1         HB   140908157    42004581   125    1    5    6.0    1    1
    -12    1    1         HB   140908157    42004601   125    1    5    6.0    1    1
    -13    1    1         HB   140908157    42004681   125    1    5    6.0    1    1
    -14    1    1         HB   140908157    42004701   125    1    5    6.0    1    1
    -15    1    1         HB   140908157    42004781   125    1    5    6.0    1    1
    -15    1    2         HB   140908157    42008781   125    1    5    6.0    1    1
    -16    1    1         HB   140908157    42004801   125    1    5    6.0    1    1
    -16    1    2         HB   140908157    42008801   125    1    5    6.0    1    1
     -1    2    1         HB   140908157    42004082   125    1    5    6.0    1    1
     -2    2    1         HB   140908157    42004102   125    1    5    6.0    1    1
     -3    2    1         HB   140908157    42004182   125    1    5    6.0    1    1
     -4    2    1         HB   140908157    42004202   125    1    5    6.0    1    1
     -5    2    1         HB   140908157    42004282   125    1    5    6.0    1    1
     -6    2    1         HB   140908157    42004302   125    1    5    6.0    1    1
     -7    2    1         HB   140908157    42004382   125    1    5    6.0    1    1
     -8    2    1         HB   140908157    42004402   125    1    5    6.0    1    1
     -9    2    1         HB   140908157    42004482   125    1    5    6.0    1    1
    -10    2    1         HB   140908157    42004502   125    1    5    6.0    1    1
    -11    2    1         HB   140908157    42004582   125    1    5    6.0    1    1
    -12    2    1         HB   140908157    42004602   125    1    5    6.0    1    1
    -13    2    1         HB   140908157    42004682   125    1    5    6.0    1    1
    -14    2    1         HB   140908157    42004702   125    1    5    6.0    1    1
    -15    2    1         HB   140908157    42004782   125    1    5    6.0    1    1
    -15    2    2         HB   140908157    42008782   125    1    5    6.0    1    1
    -16    2    1         HB   140908157    42004802   125    1    5    6.0    1    1
    -16    2    2         HB   140908157    42008802   125    1    5    6.0    1    1
     -1    3    1         HB   140908157    42004083   125    1    5    6.0    1    1
     -2    3    1         HB   140908157    42004103   125    1    5    6.0    1    1
     -3    3    1         HB   140908157    42004183   125    1    5    6.0    1    1
     -4    3    1         HB   140908157    42004203   125    1    5    6.0    1    1
     -5    3    1         HB   140908157    42004283   125    1    5    6.0    1    1
     -6    3    1         HB   140908157    42004303   125    1    5    6.0    1    1
     -7    3    1         HB   140908157    42004383   125    1    5    6.0    1    1
     -8    3    1         HB   140908157    42004403   125    1    5    6.0    1    1
     -9    3    1         HB   140908157    42004483   125    1    5    6.0    1    1
    -10    3    1         HB   140908157    42004503   125    1    5    6.0    1    1
    -11    3    1         HB   140908157    42004583   125    1    5    6.0    1    1
    -12    3    1         HB   140908157    42004603   125    1    5    6.0    1    1
    -13    3    1         HB   140908157    42004683   125    1    5    6.0    1    1
    -14    3    1         HB   140908157    42004703   125    1    5    6.0    1    1
    -15    3    1         HB   140908157    42004783   125    1    5    6.0    1    1
    -15    3    2         HB   140908157    42008783   125    1    5    6.0    1    1
    -16    3    1         HB   140908157    42004803   125    1    5    6.0    1    1
    -16    3    2         HB   140908157    42008803   125    1    5    6.0    1    1
     -1    4    1         HB   140908157    42004084   125    1    5    6.0    1    1
     -2    4    1         HB   140908157    42004104   125    1    5    6.0    1    1
     -3    4    1         HB   140908157    42004184   125    1    5    6.0    1    1
     -4    4    1         HB   140908157    42004204   125    1    5    6.0    1    1
     -5    4    1         HB   140908157    42004284   125    1    5    6.0    1    1
     -6    4    1         HB   140908157    42004304   125    1    5    6.0    1    1
     -7    4    1         HB   140908157    42004384   125    1    5    6.0    1    1
     -8    4    1         HB   140908157    42004404   125    1    5    6.0    1    1
     -9    4    1         HB   140908157    42004484   125    1    5    6.0    1    1
    -10    4    1         HB   140908157    42004504   125    1    5    6.0    1    1
    -11    4    1         HB   140908157    42004584   125    1    5    6.0    1    1
    -12    4    1         HB   140908157    42004604   125    1    5    6.0    1    1
    -13    4    1         HB   140908157    42004684   125    1    5    6.0    1    1
    -14    4    1         HB   140908157    42004704   125    1    5    6.0    1    1
    -15    4    1         HB   140908157    42004784   125    1    5    6.0    1    1
    -15    4    2         HB   140908157    42008784   125    1    5    6.0    1    1
    -16    4    1         HB   140908157    42004804   125    1    5    6.0    1    1
    -16    4    2         HB   140908157    42008804   125    1    5    6.0    1    1
     -1    5    1         HB   140908157    42004085   125    1    5    6.0    1    1
     -2    5    1         HB   140908157    42004105   125    1    5    6.0    1    1
     -3    5    1         HB   140908157    42004185   125    1    5    6.0    1    1
     -4    5    1         HB   140908157    42004205   125    1    5    6.0    1    1
     -5    5    1         HB   140908157    42004285   125    1    5    6.0    1    1
     -6    5    1         HB   140908157    42004305   125    1    5    6.0    1    1
     -7    5    1         HB   140908157    42004385   125    1    5    6.0    1    1
     -8    5    1         HB   140908157    42004405   125    1    5    6.0    1    1
     -9    5    1         HB   140908157    42004485   125    1    5    6.0    1    1
    -10    5    1         HB   140908157    42004505   125    1    5    6.0    1    1
    -11    5    1         HB   140908157    42004585   125    1    5    6.0    1    1
    -12    5    1         HB   140908157    42004605   125    1    5    6.0    1    1
    -13    5    1         HB   140908157    42004685   125    1    5    6.0    1    1
    -14    5    1         HB   140908157    42004705   125    1    5    6.0    1    1
    -15    5    1         HB   140908157    42004785   125    1    5    6.0    1    1
    -15    5    2         HB   140908157    42008785   125    1    5    6.0    1    1
    -16    5    1         HB   140908157    42004805   125    1    5    6.0    1    1
    -16    5    2         HB   140908157    42008805   125    1    5    6.0    1    1
     -1    6    1         HB   140908157    42004086   125    1    5    6.0    1    1
     -2    6    1         HB   140908157    42004106   125    1    5    6.0    1    1
     -3    6    1         HB   140908157    42004186   125    1    5    6.0    1    1
     -4    6    1         HB   140908157    42004206   125    1    5    6.0    1    1
     -5    6    1         HB   140908157    42004286   125    1    5    6.0    1    1
     -6    6    1         HB   140908157    42004306   125    1    5    6.0    1    1
     -7    6    1         HB   140908157    42004386   125    1    5    6.0    1    1
     -8    6    1         HB   140908157    42004406   125    1    5    6.0    1    1
     -9    6    1         HB   140908157    42004486   125    1    5    6.0    1    1
    -10    6    1         HB   140908157    42004506   125    1    5    6.0    1    1
    -11    6    1         HB   140908157    42004586   125    1    5    6.0    1    1
    -12    6    1         HB   140908157    42004606   125    1    5    6.0    1    1
    -13    6    1         HB   140908157    42004686   125    1    5    6.0    1    1
    -14    6    1         HB   140908157    42004706   125    1    5    6.0    1    1
    -15    6    1         HB   140908157    42004786   125    1    5    6.0    1    1
    -15    6    2         HB   140908157    42008786   125    1    5    6.0    1    1
    -16    6    1         HB   140908157    42004806   125    1    5    6.0    1    1
    -16    6    2         HB   140908157    42008806   125    1    5    6.0    1    1
     -1    7    1         HB   140908157    42004087   125    1    5    6.0    1    1
     -2    7    1         HB   140908157    42004107   125    1    5    6.0    1    1
     -3    7    1         HB   140908157    42004187   125    1    5    6.0    1    1
     -4    7    1         HB   140908157    42004207   125    1    5    6.0    1    1
     -5    7    1         HB   140908157    42004287   125    1    5    6.0    1    1
     -6    7    1         HB   140908157    42004307   125    1    5    6.0    1    1
     -7    7    1         HB   140908157    42004387   125    1    5    6.0    1    1
     -8    7    1         HB   140908157    42004407   125    1    5    6.0    1    1
     -9    7    1         HB   140908157    42004487   125    1    5    6.0    1    1
    -10    7    1         HB   140908157    42004507   125    1    5    6.0    1    1
    -11    7    1         HB   140908157    42004587   125    1    5    6.0    1    1
    -12    7    1         HB   140908157    42004607   125    1    5    6.0    1    1
    -13    7    1         HB   140908157    42004687   125    1    5    6.0    1    1
    -14    7    1         HB   140908157    42004707   125    1    5    6.0    1    1
    -15    7    1         HB   140908157    42004787   125    1    5    6.0    1    1
    -15    7    2         HB   140908157    42008787   125    1    5    6.0    1    1
    -16    7    1         HB   140908157    42004807   125    1    5    6.0    1    1
    -16    7    2         HB   140908157    42008807   125    1    5    6.0    1    1
     -1    8    1         HB   140908157    42004088   125    1    5    6.0    1    1
     -2    8    1         HB   140908157    42004108   125    1    5    6.0    1    1
     -3    8    1         HB   140908157    42004188   125    1    5    6.0    1    1
     -4    8    1         HB   140908157    42004208   125    1    5    6.0    1    1
     -5    8    1         HB   140908157    42004288   125    1    5    6.0    1    1
     -6    8    1         HB   140908157    42004308   125    1    5    6.0    1    1
     -7    8    1         HB   140908157    42004388   125    1    5    6.0    1    1
     -8    8    1         HB   140908157    42004408   125    1    5    6.0    1    1
     -9    8    1         HB   140908157    42004488   125    1    5    6.0    1    1
    -10    8    1         HB   140908157    42004508   125    1    5    6.0    1    1
    -11    8    1         HB   140908157    42004588   125    1    5    6.0    1    1
    -12    8    1         HB   140908157    42004608   125    1    5    6.0    1    1
    -13    8    1         HB   140908157    42004688   125    1    5    6.0    1    1
    -14    8    1         HB   140908157    42004708   125    1    5    6.0    1    1
    -15    8    1         HB   140908157    42004788   125    1    5    6.0    1    1
    -15    8    2         HB   140908157    42008788   125    1    5    6.0    1    1
    -16    8    1         HB   140908157    42004808   125    1    5    6.0    1    1
    -16    8    2         HB   140908157    42008808   125    1    5    6.0    1    1
     -1    9    1         HB   140908157    42004089   125    1    5    6.0    1    1
     -2    9    1         HB   140908157    42004109   125    1    5    6.0    1    1
     -3    9    1         HB   140908157    42004189   125    1    5    6.0    1    1
     -4    9    1         HB   140908157    42004209   125    1    5    6.0    1    1
     -5    9    1         HB   140908157    42004289   125    1    5    6.0    1    1
     -6    9    1         HB   140908157    42004309   125    1    5    6.0    1    1
     -7    9    1         HB   140908157    42004389   125    1    5    6.0    1    1
     -8    9    1         HB   140908157    42004409   125    1    5    6.0    1    1
     -9    9    1         HB   140908157    42004489   125    1    5    6.0    1    1
    -10    9    1         HB   140908157    42004509   125    1    5    6.0    1    1
    -11    9    1         HB   140908157    42004589   125    1    5    6.0    1    1
    -12    9    1         HB   140908157    42004609   125    1    5    6.0    1    1
    -13    9    1         HB   140908157    42004689   125    1    5    6.0    1    1
    -14    9    1         HB   140908157    42004709   125    1    5    6.0    1    1
    -15    9    1         HB   140908157    42004789   125    1    5    6.0    1    1
    -15    9    2         HB   140908157    42008789   125    1    5    6.0    1    1
    -16    9    1         HB   140908157    42004809   125    1    5    6.0    1    1
    -16    9    2         HB   140908157    42008809   125    1    5    6.0    1    1
     -1   10    1         HB   140908157    4200408A   125    1    5    6.0    1    1
     -2   10    1         HB   140908157    4200410A   125    1    5    6.0    1    1
     -3   10    1         HB   140908157    4200418A   125    1    5    6.0    1    1
     -4   10    1         HB   140908157    4200420A   125    1    5    6.0    1    1
     -5   10    1         HB   140908157    4200428A   125    1    5    6.0    1    1
     -6   10    1         HB   140908157    4200430A   125    1    5    6.0    1    1
     -7   10    1         HB   140908157    4200438A   125    1    5    6.0    1    1
     -8   10    1         HB   140908157    4200440A   125    1    5    6.0    1    1
     -9   10    1         HB   140908157    4200448A   125    1    5    6.0    1    1
    -10   10    1         HB   140908157    4200450A   125    1    5    6.0    1    1
    -11   10    1         HB   140908157    4200458A   125    1    5    6.0    1    1
    -12   10    1         HB   140908157    4200460A   125    1    5    6.0    1    1
    -13   10    1         HB   140908157    4200468A   125    1    5    6.0    1    1
    -14   10    1         HB   140908157    4200470A   125    1    5    6.0    1    1
    -15   10    1         HB   140908157    4200478A   125    1    5    6.0    1    1
    -15   10    2         HB   140908157    4200878A   125    1    5    6.0    1    1
    -16   10    1         HB   140908157    4200480A   125    1    5    6.0    1    1
    -16   10    2         HB   140908157    4200880A   125    1    5    6.0    1    1
     -1   11    1         HB   140908157    4200408B   125    1    5    6.0    1    1
     -2   11    1         HB   140908157    4200410B   125    1    5    6.0    1    1
     -3   11    1         HB   140908157    4200418B   125    1    5    6.0    1    1
     -4   11    1         HB   140908157    4200420B   125    1    5    6.0    1    1
     -5   11    1         HB   140908157    4200428B   125    1    5    6.0    1    1
     -6   11    1         HB   140908157    4200430B   125    1    5    6.0    1    1
     -7   11    1         HB   140908157    4200438B   125    1    5    6.0    1    1
     -8   11    1         HB   140908157    4200440B   125    1    5    6.0    1    1
     -9   11    1         HB   140908157    4200448B   125    1    5    6.0    1    1
    -10   11    1         HB   140908157    4200450B   125    1    5    6.0    1    1
