#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.24756  0.24756  0.24756  0.24756   42004081
               -2               1               1              HB  0.23992  0.23992  0.23992  0.23992   42004101
               -3               1               1              HB  0.23906  0.23906  0.23906  0.23906   42004181
               -4               1               1              HB  0.22787  0.22787  0.22787  0.22787   42004201
               -5               1               1              HB  0.22062  0.22062  0.22062  0.22062   42004281
               -6               1               1              HB  0.21558  0.21558  0.21558  0.21558   42004301
               -7               1               1              HB  0.20879  0.20879  0.20879  0.20879   42004381
               -8               1               1              HB  0.20500  0.20500  0.20500  0.20500   42004401
               -9               1               1              HB  0.17497  0.17497  0.17497  0.17497   42004481
              -10               1               1              HB  0.17863  0.17863  0.17863  0.17863   42004501
              -11               1               1              HB  0.18677  0.18677  0.18677  0.18677   42004581
              -12               1               1              HB  0.18471  0.18471  0.18471  0.18471   42004601
              -13               1               1              HB  0.14843  0.14843  0.14843  0.14843   42004681
              -14               1               1              HB  0.18301  0.18301  0.18301  0.18301   42004701
              -15               1               1              HB  0.12720  0.12720  0.12720  0.12720   42004781
              -15               1               2              HB  0.12661  0.12661  0.12661  0.12661   42008781
              -16               1               1              HB  0.17081  0.17081  0.17081  0.17081   42004801
              -16               1               2              HB  0.13121  0.13121  0.13121  0.13121   42008801
               -1               2               1              HB  0.27658  0.27658  0.27658  0.27658   42004082
               -2               2               1              HB  0.26225  0.26225  0.26225  0.26225   42004102
               -3               2               1              HB  0.30714  0.30714  0.30714  0.30714   42004182
               -4               2               1              HB  0.23481  0.23481  0.23481  0.23481   42004202
               -5               2               1              HB  0.22474  0.22474  0.22474  0.22474   42004282
               -6               2               1              HB  0.23348  0.23348  0.23348  0.23348   42004302
               -7               2               1              HB  0.27727  0.27727  0.27727  0.27727   42004382
               -8               2               1              HB  0.20641  0.20641  0.20641  0.20641   42004402
               -9               2               1              HB  0.19950  0.19950  0.19950  0.19950   42004482
              -10               2               1              HB  0.20436  0.20436  0.20436  0.20436   42004502
              -11               2               1              HB  0.24776  0.24776  0.24776  0.24776   42004582
              -12               2               1              HB  0.19425  0.19425  0.19425  0.19425   42004602
              -13               2               1              HB  0.18817  0.18817  0.18817  0.18817   42004682
              -14               2               1              HB  0.18277  0.18277  0.18277  0.18277   42004702
              -15               2               1              HB  0.17041  0.17041  0.17041  0.17041   42004782
              -15               2               2              HB  0.14228  0.14228  0.14228  0.14228   42008782
              -16               2               1              HB  0.15937  0.15937  0.15937  0.15937   42004802
              -16               2               2              HB  0.15853  0.15853  0.15853  0.15853   42008802
               -1               3               1              HB  0.23434  0.23434  0.23434  0.23434   42004083
               -2               3               1              HB  0.22446  0.22446  0.22446  0.22446   42004103
               -3               3               1              HB  0.22101  0.22101  0.22101  0.22101   42004183
               -4               3               1              HB  0.21445  0.21445  0.21445  0.21445   42004203
               -5               3               1              HB  0.22924  0.22924  0.22924  0.22924   42004283
               -6               3               1              HB  0.22499  0.22499  0.22499  0.22499   42004303
               -7               3               1              HB  0.20848  0.20848  0.20848  0.20848   42004383
               -8               3               1              HB  0.19556  0.19556  0.19556  0.19556   42004403
               -9               3               1              HB  0.18808  0.18808  0.18808  0.18808   42004483
              -10               3               1              HB  0.19857  0.19857  0.19857  0.19857   42004503
              -11               3               1              HB  0.19439  0.19439  0.19439  0.19439   42004583
              -12               3               1              HB  0.18339  0.18339  0.18339  0.18339   42004603
              -13               3               1              HB  0.18781  0.18781  0.18781  0.18781   42004683
              -14               3               1              HB  0.17494  0.17494  0.17494  0.17494   42004703
              -15               3               1              HB  0.15670  0.15670  0.15670  0.15670   42004783
              -15               3               2              HB  0.13423  0.13423  0.13423  0.13423   42008783
              -16               3               1              HB  0.17508  0.17508  0.17508  0.17508   42004803
              -16               3               2              HB  0.15087  0.15087  0.15087  0.15087   42008803
               -1               4               1              HB  0.21007  0.21007  0.21007  0.21007   42004084
               -2               4               1              HB  0.18512  0.18512  0.18512  0.18512   42004104
               -3               4               1              HB  0.18256  0.18256  0.18256  0.18256   42004184
               -4               4               1              HB  0.18344  0.18344  0.18344  0.18344   42004204
               -5               4               1              HB  0.18369  0.18369  0.18369  0.18369   42004284
               -6               4               1              HB  0.17156  0.17156  0.17156  0.17156   42004304
               -7               4               1              HB  0.17052  0.17052  0.17052  0.17052   42004384
               -8               4               1              HB  0.17031  0.17031  0.17031  0.17031   42004404
               -9               4               1              HB  0.17610  0.17610  0.17610  0.17610   42004484
              -10               4               1              HB  0.16206  0.16206  0.16206  0.16206   42004504
              -11               4               1              HB  0.16377  0.16377  0.16377  0.16377   42004584
              -12               4               1              HB  0.16749  0.16749  0.16749  0.16749   42004604
              -13               4               1              HB  0.16613  0.16613  0.16613  0.16613   42004684
              -14               4               1              HB  0.15003  0.15003  0.15003  0.15003   42004704
              -15               4               1              HB  0.12879  0.12879  0.12879  0.12879   42004784
              -15               4               2              HB  0.12763  0.12763  0.12763  0.12763   42008784
              -16               4               1              HB  0.14440  0.14440  0.14440  0.14440   42004804
              -16               4               2              HB  0.14777  0.14777  0.14777  0.14777   42008804
               -1               5               1              HB  0.24293  0.24293  0.24293  0.24293   42004085
